subsidiarynumber;vat;name;adprotected;startdate;enddate
1022351792;20458984;"City Bakery Jægerspris";1;2017-05-01;
1025474666;41077638;"Homestyle by Winefred v/Christina Kehlet";1;2020-01-15;
1000020332;10115671;"PEDERSENS BAGERI V/ALLAN PEDERSEN";0;1986-02-22;
1025264823;40954627;"Gastronomia Pizza & Bageri";1;2019-12-01;
1003075922;26259495;"COOP Kvickly Vordingborg";0;1983-01-01;
1021953136;38207024;o-kage;1;2017-01-01;
1016573074;35954716;Føtex;0;2011-05-12;
1010502183;27683150;"Parkkonditoriet v/Yaser Houji";0;2004-04-05;
1025292835;27560946;"Patrick Bakery - Kongens Lyngby";0;2019-12-09;
1002998910;20031611;"Kvickly Sønderborg";0;1969-09-04;
1012180825;27560946;"Patricks Bakery ApS";0;2005-06-01;
1004258282;10659078;"Centerbageriet Hanstholm v/Jan Chr Sørensen";0;1997-10-01;
1004618556;20974699;"BAGERGAARDEN TØRRING APS";0;1998-01-01;
1018928716;12307136;Bager-Riget;0;2013-11-28;
1014382077;30540115;"Danish Bread Studio Svendborg ApS";0;2008-04-16;
1023345214;39331381;"Le Fondant ApS";0;2018-02-02;
1014534535;31577195;"KAJS BAGERI VESTER SOTTRUP ApS";0;2008-06-27;
1026471326;41810556;"Meyers Bageri JBG";1;2020-11-15;
1019578808;28504462;"FARUMHUS A/S";0;2014-05-01;
1002465820;75636911;"ØLSTYKKE BAGERI & CONDITORI APS";0;1984-04-01;
1023988824;39671395;"KonditorBager Hirtshals";1;2018-09-26;
1003210217;29299854;"Højvangs Bageri og Konditori v/claus Knudsen";0;1987-10-01;
1021281308;37564044;"Sweet Lab";1;2016-05-16;
1007306586;25099567;"MENY Løkken A/S";0;1999-12-22;
1024853019;21061883;"Bodenhoffs Bageri ApS Herlev";1;2019-08-08;
1024867818;28913109;"Baker House Glostrup";1;2019-07-09;
1024176238;39946505;"Jacobsens Bageri";1;2018-12-01;
1000416499;20123400;"KLITGAARDS BAGERI APS";0;1989-01-15;
1024690713;26640091;"Claus' Hjemme-kageri";1;2019-05-09;
1026450515;41039736;"Simons Brød";1;2020-11-09;
1001540926;15248440;"BAGERGÅRDEN VINDING ApS";0;1982-03-10;
1017959359;20213094;"Lagkagehuset - 261 Ny Østergade";0;2012-09-28;
1016995122;33596707;Knirkeline;0;2011-07-12;
